,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nabire,-3.3667,135.4833,76.41,92,100,3.31,ID,1631625356
1,Capaci,38.1711,13.2393,90.52,62,20,1.99,IT,1631625357
2,San,13.3034,-4.8956,94.91,42,19,6.46,ML,1631625359
3,Pascagoula,30.3658,-88.5561,77.05,96,40,5.75,US,1631625360
4,Lompoc,34.6391,-120.4579,59.09,99,90,0.0,US,1631625361
5,Bam,29.106,58.357,92.68,6,0,10.98,IR,1631625362
6,Cape,-36.413,-71.9028,36.82,74,1,6.69,CL,1631625363
7,Longyearbyen,78.2186,15.6401,37.24,81,75,2.3,SJ,1631625365
8,Ushuaia,-54.8,-68.3,46.02,81,90,42.57,AR,1631625366
9,Jamame,0.0722,42.7506,83.3,60,80,17.02,SO,1631625368
10,Riohacha,11.5444,-72.9072,82.62,75,67,7.81,CO,1631625369
11,Hong Kong,22.2855,114.1577,86.32,80,96,1.01,HK,1631625164
12,Rikitea,-23.1203,-134.9692,73.45,72,46,10.13,PF,1631625371
13,Port,-7.0349,29.7638,84.04,39,100,1.66,CD,1631625373
14,Bredasdorp,-34.5322,20.0403,58.32,67,100,9.22,ZA,1631625374
15,Tambacounda,13.7539,-13.7586,93.25,59,75,6.91,SN,1631625376
16,Albany,42.6001,-73.9662,63.81,86,72,1.01,US,1631625377
17,New,6.6518,-10.5932,84.79,70,88,5.28,LR,1631625378
18,Ust'-Koksa,50.2696,85.6108,44.8,38,100,3.2,RU,1631625379
19,Sittwe,20.15,92.9,79.68,87,100,4.72,MM,1631625380
20,Vaini,-21.2,-175.2,68.16,100,75,2.3,TO,1631625380
21,Torbay,47.6666,-52.7314,61.75,79,40,14.97,CA,1631625382
22,Ponta,38.7333,-28.2667,68.68,72,8,7.07,PT,1631625383
23,Muros,42.7762,-9.0603,76.14,79,30,4.29,ES,1631625385
24,Saskylakh,71.9167,114.0833,42.64,89,92,6.44,RU,1631625386
25,Lebu,-37.6167,-73.65,46.44,66,9,5.68,CL,1631625387
26,Yellowknife,62.456,-114.3525,41.52,100,20,3.44,CA,1631625389
27,Tiksi,71.6872,128.8694,41.41,91,100,9.42,RU,1631625390
